3000, 1000, 7.674771
2900, 1000, 7.380845
2800, 1000, 7.454802
2700, 1000, 6.971677
2600, 1000, 7.078408
2500, 1000, 6.485709
2400, 1000, 6.470967
2300, 1000, 6.516069
2200, 1000, 6.171158
2100, 1000, 5.483840
2000, 1000, 5.159994
1900, 1000, 4.875357
1800, 1000, 4.595965
1700, 1000, 4.457681
1600, 1000, 4.324646
1500, 1000, 3.912418
1400, 1000, 3.674944
1300, 1000, 3.636994
1200, 1000, 2.968331
1100, 1000, 2.548876
1000, 1000, 1.892982
900, 1000, 1.680897
800, 1000, 1.509842
700, 1000, 1.298764
600, 1000, 1.124084
500, 1000, 0.920934
400, 1000, 0.658298
300, 1000, 0.456401
200, 1000, 0.336838
100, 1000, 0.157639
5000, 1000, 13.267940
10000, 1000, 34.577239
