3000, 1000, 20.689714
2900, 1000, 20.436582
2800, 1000, 20.004504
2700, 1000, 19.208578
2600, 1000, 18.624300
2500, 1000, 17.895944
2400, 1000, 17.053411
2300, 1000, 16.167485
2200, 1000, 15.644345
2100, 1000, 14.995664
2000, 1000, 13.857568
1900, 1000, 13.327187
1800, 1000, 12.238194
1700, 1000, 11.706980
1600, 1000, 10.660047
1500, 1000, 10.239258
1400, 1000, 9.241028
1300, 1000, 8.702135
1200, 1000, 7.6830735
1100, 1000, 7.129787
1000, 1000, 5.477540
900, 1000, 4.747193
800, 1000, 4.082064
700, 1000, 3.495148
600, 1000, 2.926985
500, 1000, 2.312002
400, 1000, 2.150527
300, 1000, 1.238536
200, 1000, 0.774688
100, 1000, 0.309343
5000, 1000, 38.881755
10000, 1000, 88.738875
